Из xml,Класс страницы,Тип страницы,Назначение,"URL красивый, читаемый и привлекательный",Название страницы,Код ответа,Закрыта от индекса,туров на 18.10.25,коммент
https://youtravel.me/tours/country/оаэ/month-jan,страны,SEO-фильтр,Месяцы - январь,https://youtravel.me/tours/country/оаэ/month-jan,Туры в ОАЭ в январе,200,,#N/A,
https://youtravel.me/tours/country/оаэ/month-jul,страны,SEO-фильтр,Месяцы - июль,https://youtravel.me/tours/country/оаэ/month-jul,Туры в ОАЭ в июле,200,,#N/A,
https://youtravel.me/tours/country/оаэ/month-jun,страны,SEO-фильтр,Месяцы - июнь,https://youtravel.me/tours/country/оаэ/month-jun,Туры в ОАЭ в июне,200,,#N/A,
https://youtravel.me/tours/country/оаэ/month-mar,страны,SEO-фильтр,Месяцы - март,https://youtravel.me/tours/country/оаэ/month-mar,Туры в ОАЭ в марте,200,,#N/A,
https://youtravel.me/tours/country/оаэ/month-may,страны,SEO-фильтр,Месяцы+праздники - май+майские,https://youtravel.me/tours/country/оаэ/month-may,Туры в ОАЭ в мае,200,,#N/A,
https://youtravel.me/tours/country/оаэ/month-nov,страны,SEO-фильтр,Месяцы - ноябрь,https://youtravel.me/tours/country/оаэ/month-nov,Туры в ОАЭ в ноябре,200,,#N/A,
https://youtravel.me/tours/country/оаэ/month-oct,страны,SEO-фильтр,Месяцы - октябрь,https://youtravel.me/tours/country/оаэ/month-oct,Туры в ОАЭ в октябре,200,,#N/A,
https://youtravel.me/tours/country/оаэ/month-sep,страны,SEO-фильтр,Месяцы - сентябрь,https://youtravel.me/tours/country/оаэ/month-sep,Туры в ОАЭ в сентябре,200,,#N/A,
https://youtravel.me/tours/country/%D0%BE%D0%BC%D0%B0%D0%BD,страны,страны,Целевая страница каталога,https://youtravel.me/tours/country/оман,Туры в Оман,200,,16,
https://youtravel.me/tours/country/оман/month-apr,страны,SEO-фильтр,Месяцы - апрель,https://youtravel.me/tours/country/оман/month-apr,Туры в Оман в апреле,200,,#N/A,
https://youtravel.me/tours/country/оман/month-aug,страны,SEO-фильтр,Месяцы - август,https://youtravel.me/tours/country/оман/month-aug,Туры в Оман в августе,200,,#N/A,
https://youtravel.me/tours/country/оман/month-dec,страны,SEO-фильтр,Месяцы - декабрь,https://youtravel.me/tours/country/оман/month-dec,Туры в Оман в декабре,200,,#N/A,
https://youtravel.me/tours/country/оман/month-feb,страны,SEO-фильтр,Месяцы - февраль,https://youtravel.me/tours/country/оман/month-feb,Туры в Оман в феврале,200,,#N/A,
https://youtravel.me/tours/country/оман/month-jan,страны,SEO-фильтр,Месяцы - январь,https://youtravel.me/tours/country/оман/month-jan,Туры в Оман в январе,200,,#N/A,
https://youtravel.me/tours/country/оман/month-jul,страны,SEO-фильтр,Месяцы - июль,https://youtravel.me/tours/country/оман/month-jul,Туры в Оман в июле,200,,#N/A,
https://youtravel.me/tours/country/оман/month-jun,страны,SEO-фильтр,Месяцы - июнь,https://youtravel.me/tours/country/оман/month-jun,Туры в Оман в июне,200,,#N/A,
https://youtravel.me/tours/country/оман/month-mar,страны,SEO-фильтр,Месяцы - март,https://youtravel.me/tours/country/оман/month-mar,Туры в Оман в марте,200,,#N/A,
https://youtravel.me/tours/country/оман/month-may,страны,SEO-фильтр,Месяцы+праздники - май+майские,https://youtravel.me/tours/country/оман/month-may,Туры в Оман в мае,200,,#N/A,
https://youtravel.me/tours/country/оман/month-nov,страны,SEO-фильтр,Месяцы - ноябрь,https://youtravel.me/tours/country/оман/month-nov,Туры в Оман в ноябре,200,,#N/A,
https://youtravel.me/tours/country/оман/month-oct,страны,SEO-фильтр,Месяцы - октябрь,https://youtravel.me/tours/country/оман/month-oct,Туры в Оман в октябре,200,,#N/A,
https://youtravel.me/tours/country/оман/month-sep,страны,SEO-фильтр,Месяцы - сентябрь,https://youtravel.me/tours/country/оман/month-sep,Туры в Оман в сентябре,200,,#N/A,
https://youtravel.me/tours/country/%D0%BF%D0%B0%D0%BA%D0%B8%D1%81%D1%82%D0%B0%D0%BD,страны,страны,Целевая страница каталога,https://youtravel.me/tours/country/пакистан,Туры в Пакистан,200,,2,
https://youtravel.me/tours/country/пакистан/month-apr,страны,SEO-фильтр,Месяцы - апрель,https://youtravel.me/tours/country/пакистан/month-apr,Туры в Пакистан в апреле,200,,#N/A,
https://youtravel.me/tours/country/пакистан/month-aug,страны,SEO-фильтр,Месяцы - август,https://youtravel.me/tours/country/пакистан/month-aug,Туры в Пакистан в августе,200,,#N/A,
https://youtravel.me/tours/country/пакистан/month-dec,страны,SEO-фильтр,Месяцы - декабрь,https://youtravel.me/tours/country/пакистан/month-dec,Туры в Пакистан в декабре,200,,#N/A,
https://youtravel.me/tours/country/пакистан/month-feb,страны,SEO-фильтр,Месяцы - февраль,https://youtravel.me/tours/country/пакистан/month-feb,Туры в Пакистан в феврале,200,,#N/A,
https://youtravel.me/tours/country/пакистан/month-jan,страны,SEO-фильтр,Месяцы - январь,https://youtravel.me/tours/country/пакистан/month-jan,Туры в Пакистан в январе,200,,#N/A,
https://youtravel.me/tours/country/пакистан/month-jul,страны,SEO-фильтр,Месяцы - июль,https://youtravel.me/tours/country/пакистан/month-jul,Туры в Пакистан в июле,200,,#N/A,
https://youtravel.me/tours/country/пакистан/month-jun,страны,SEO-фильтр,Месяцы - июнь,https://youtravel.me/tours/country/пакистан/month-jun,Туры в Пакистан в июне,200,,#N/A,
https://youtravel.me/tours/country/пакистан/month-mar,страны,SEO-фильтр,Месяцы - март,https://youtravel.me/tours/country/пакистан/month-mar,Туры в Пакистан в марте,200,,#N/A,
https://youtravel.me/tours/country/пакистан/month-may,страны,SEO-фильтр,Месяцы+праздники - май+майские,https://youtravel.me/tours/country/пакистан/month-may,Туры в Пакистан в мае,200,,#N/A,
https://youtravel.me/tours/country/пакистан/month-nov,страны,SEO-фильтр,Месяцы - ноябрь,https://youtravel.me/tours/country/пакистан/month-nov,Туры в Пакистан в ноябре,200,,#N/A,
https://youtravel.me/tours/country/пакистан/month-oct,страны,SEO-фильтр,Месяцы - октябрь,https://youtravel.me/tours/country/пакистан/month-oct,Туры в Пакистан в октябре,200,,#N/A,
https://youtravel.me/tours/country/пакистан/month-sep,страны,SEO-фильтр,Месяцы - сентябрь,https://youtravel.me/tours/country/пакистан/month-sep,Туры в Пакистан в сентябре,200,,#N/A,
https://youtravel.me/tours/country/%D0%BF%D0%B0%D0%BB%D0%B5%D1%81%D1%82%D0%B8%D0%BD%D0%B0,страны,страны,Целевая страница каталога,https://youtravel.me/tours/country/палестина,Туры в Палестину,200,,#N/A,
https://youtravel.me/tours/country/%D0%BF%D0%B0%D0%BD%D0%B0%D0%BC%D0%B0,страны,страны,Целевая страница каталога,https://youtravel.me/tours/country/панама,Туры в Панаму,200,,#N/A,
https://youtravel.me/tours/country/%D0%BF%D0%B0%D0%BF%D1%83%D0%B0_-_%D0%BD%D0%BE%D0%B2%D0%B0%D1%8F_%D0%B3%D0%B2%D0%B8%D0%BD%D0%B5%D1%8F,страны,страны,Целевая страница каталога,https://youtravel.me/tours/country/папуа_-_новая_гвинея,Туры в Папуа-Новую Гвинею,200,,2,
https://youtravel.me/tours/country/%D0%BF%D0%B0%D1%80%D0%B0%D0%B3%D0%B2%D0%B0%D0%B9,страны,страны,Целевая страница каталога,https://youtravel.me/tours/country/парагвай,Туры в Парагвай,200,,7,
https://youtravel.me/tours/country/%D0%BF%D0%B5%D1%80%D1%83,страны,страны,Целевая страница каталога,https://youtravel.me/tours/country/перу,Туры в Перу,200,,19,
https://youtravel.me/tours/country/перу/month-apr,страны,SEO-фильтр,Месяцы - апрель,https://youtravel.me/tours/country/перу/month-apr,Туры в Перу в апреле,200,,#N/A,
https://youtravel.me/tours/country/перу/month-aug,страны,SEO-фильтр,Месяцы - август,https://youtravel.me/tours/country/перу/month-aug,Туры в Перу в августе,200,,#N/A,
https://youtravel.me/tours/country/перу/month-dec,страны,SEO-фильтр,Месяцы - декабрь,https://youtravel.me/tours/country/перу/month-dec,Туры в Перу в декабре,200,,#N/A,
https://youtravel.me/tours/country/перу/month-feb,страны,SEO-фильтр,Месяцы - февраль,https://youtravel.me/tours/country/перу/month-feb,Туры в Перу в феврале,200,,#N/A,
https://youtravel.me/tours/country/перу/month-jan,страны,SEO-фильтр,Месяцы - январь,https://youtravel.me/tours/country/перу/month-jan,Туры в Перу в январе,200,,#N/A,
https://youtravel.me/tours/country/перу/month-jul,страны,SEO-фильтр,Месяцы - июль,https://youtravel.me/tours/country/перу/month-jul,Туры в Перу в июле,200,,#N/A,
https://youtravel.me/tours/country/перу/month-jun,страны,SEO-фильтр,Месяцы - июнь,https://youtravel.me/tours/country/перу/month-jun,Туры в Перу в июне,200,,#N/A,
https://youtravel.me/tours/country/перу/month-mar,страны,SEO-фильтр,Месяцы - март,https://youtravel.me/tours/country/перу/month-mar,Туры в Перу в марте,200,,#N/A,
https://youtravel.me/tours/country/перу/month-may,страны,SEO-фильтр,Месяцы+праздники - май+майские,https://youtravel.me/tours/country/перу/month-may,Туры в Перу в мае,200,,#N/A,
https://youtravel.me/tours/country/перу/month-nov,страны,SEO-фильтр,Месяцы - ноябрь,https://youtravel.me/tours/country/перу/month-nov,Туры в Перу в ноябре,200,,#N/A,
https://youtravel.me/tours/country/перу/month-oct,страны,SEO-фильтр,Месяцы - октябрь,https://youtravel.me/tours/country/перу/month-oct,Туры в Перу в октябре,200,,#N/A,
https://youtravel.me/tours/country/перу/month-sep,страны,SEO-фильтр,Месяцы - сентябрь,https://youtravel.me/tours/country/перу/month-sep,Туры в Перу в сентябре,200,,#N/A,
https://youtravel.me/tours/country/%D0%BF%D0%BE%D0%BB%D1%8C%D1%88%D0%B0,страны,страны,Целевая страница каталога,https://youtravel.me/tours/country/польша,Туры в Польшу,200,,#N/A,
https://youtravel.me/tours/country/польша/month-apr,страны,SEO-фильтр,Месяцы - апрель,https://youtravel.me/tours/country/польша/month-apr,Туры в Польшу в апреле,200,,#N/A,
https://youtravel.me/tours/country/польша/month-aug,страны,SEO-фильтр,Месяцы - август,https://youtravel.me/tours/country/польша/month-aug,Туры в Польшу в августе,200,,#N/A,
https://youtravel.me/tours/country/польша/month-dec,страны,SEO-фильтр,Месяцы - декабрь,https://youtravel.me/tours/country/польша/month-dec,Туры в Польшу в декабре,200,,#N/A,
https://youtravel.me/tours/country/польша/month-feb,страны,SEO-фильтр,Месяцы - февраль,https://youtravel.me/tours/country/польша/month-feb,Туры в Польшу в феврале,200,,#N/A,
https://youtravel.me/tours/country/польша/month-jan,страны,SEO-фильтр,Месяцы - январь,https://youtravel.me/tours/country/польша/month-jan,Туры в Польшу в январе,200,,#N/A,
https://youtravel.me/tours/country/польша/month-jul,страны,SEO-фильтр,Месяцы - июль,https://youtravel.me/tours/country/польша/month-jul,Туры в Польшу в июле,200,,#N/A,
https://youtravel.me/tours/country/польша/month-jun,страны,SEO-фильтр,Месяцы - июнь,https://youtravel.me/tours/country/польша/month-jun,Туры в Польшу в июне,200,,#N/A,
https://youtravel.me/tours/country/польша/month-mar,страны,SEO-фильтр,Месяцы - март,https://youtravel.me/tours/country/польша/month-mar,Туры в Польшу в марте,200,,#N/A,
https://youtravel.me/tours/country/польша/month-may,страны,SEO-фильтр,Месяцы+праздники - май+майские,https://youtravel.me/tours/country/польша/month-may,Туры в Польшу в мае,200,,#N/A,
https://youtravel.me/tours/country/польша/month-nov,страны,SEO-фильтр,Месяцы - ноябрь,https://youtravel.me/tours/country/польша/month-nov,Туры в Польшу в ноябре,200,,#N/A,
https://youtravel.me/tours/country/польша/month-oct,страны,SEO-фильтр,Месяцы - октябрь,https://youtravel.me/tours/country/польша/month-oct,Туры в Польшу в октябре,200,,#N/A,
https://youtravel.me/tours/country/польша/month-sep,страны,SEO-фильтр,Месяцы - сентябрь,https://youtravel.me/tours/country/польша/month-sep,Туры в Польшу в сентябре,200,,#N/A,
https://youtravel.me/tours/country/%D0%BF%D0%BE%D1%80%D1%82%D1%83%D0%B3%D0%B0%D0%BB%D0%B8%D1%8F,страны,страны,Целевая страница каталога,https://youtravel.me/tours/country/португалия,Туры в Португалию,200,,21,
https://youtravel.me/tours/country/португалия/month-apr,страны,SEO-фильтр,Месяцы - апрель,https://youtravel.me/tours/country/португалия/month-apr,Туры в Португалию в апреле,200,,#N/A,
https://youtravel.me/tours/country/португалия/month-aug,страны,SEO-фильтр,Месяцы - август,https://youtravel.me/tours/country/португалия/month-aug,Туры в Португалию в августе,200,,#N/A,
https://youtravel.me/tours/country/португалия/month-dec,страны,SEO-фильтр,Месяцы - декабрь,https://youtravel.me/tours/country/португалия/month-dec,Туры в Португалию в декабре,200,,#N/A,
https://youtravel.me/tours/country/португалия/month-feb,страны,SEO-фильтр,Месяцы - февраль,https://youtravel.me/tours/country/португалия/month-feb,Туры в Португалию в феврале,200,,#N/A,
https://youtravel.me/tours/country/португалия/month-jan,страны,SEO-фильтр,Месяцы - январь,https://youtravel.me/tours/country/португалия/month-jan,Туры в Португалию в январе,200,,#N/A,
https://youtravel.me/tours/country/португалия/month-jul,страны,SEO-фильтр,Месяцы - июль,https://youtravel.me/tours/country/португалия/month-jul,Туры в Португалию в июле,200,,#N/A,
https://youtravel.me/tours/country/португалия/month-jun,страны,SEO-фильтр,Месяцы - июнь,https://youtravel.me/tours/country/португалия/month-jun,Туры в Португалию в июне,200,,#N/A,
https://youtravel.me/tours/country/португалия/month-mar,страны,SEO-фильтр,Месяцы - март,https://youtravel.me/tours/country/португалия/month-mar,Туры в Португалию в марте,200,,#N/A,
https://youtravel.me/tours/country/португалия/month-may,страны,SEO-фильтр,Месяцы+праздники - май+майские,https://youtravel.me/tours/country/португалия/month-may,Туры в Португалию в мае,200,,#N/A,
https://youtravel.me/tours/country/португалия/month-nov,страны,SEO-фильтр,Месяцы - ноябрь,https://youtravel.me/tours/country/португалия/month-nov,Туры в Португалию в ноябре,200,,#N/A,
https://youtravel.me/tours/country/португалия/month-oct,страны,SEO-фильтр,Месяцы - октябрь,https://youtravel.me/tours/country/португалия/month-oct,Туры в Португалию в октябре,200,,#N/A,
https://youtravel.me/tours/country/португалия/month-sep,страны,SEO-фильтр,Месяцы - сентябрь,https://youtravel.me/tours/country/португалия/month-sep,Туры в Португалию в сентябре,200,,#N/A,
https://youtravel.me/tours/country/%D1%80%D0%BE%D1%81%D1%81%D0%B8%D1%8F,страны,страны,Целевая страница каталога,https://youtravel.me/tours/country/россия,Туры по России,200,,2878,
https://youtravel.me/tours/country/россия/days-1,страны,SEO-фильтр,Дни - на 1 день (экскурсии),https://youtravel.me/tours/country/россия/days-1,Экскурсии в России на 1 день,200,,#N/A,
https://youtravel.me/tours/country/россия/days-10,страны,SEO-фильтр,Дни - на 10 дней,https://youtravel.me/tours/country/россия/days-10,Туры по России на 10 дней,200,,#N/A,
https://youtravel.me/tours/country/россия/days-3,страны,SEO-фильтр,Дни - на 3 дня,https://youtravel.me/tours/country/россия/days-3,Туры по России на 3 дня,200,,#N/A,
https://youtravel.me/tours/country/россия/days-5,страны,SEO-фильтр,Дни - на 5 дней,https://youtravel.me/tours/country/россия/days-5,Туры по России на 5 дней,200,,#N/A,
https://youtravel.me/tours/country/россия/days-7,страны,SEO-фильтр,Дни - на 7 дней,https://youtravel.me/tours/country/россия/days-7,Туры по России на 7 дней,200,,#N/A,
https://youtravel.me/tours/country/россия/from-spb,страны,SEO-фильтр,Из города - СПБ,https://youtravel.me/tours/country/россия/from-spb,Туры в Россию из Санкт-Петербурга,200,,#N/A,
https://youtravel.me/tours/country/россия/month-apr,страны,SEO-фильтр,Месяцы - апрель,https://youtravel.me/tours/country/россия/month-apr,Туры по России в апреле,200,,#N/A,
https://youtravel.me/tours/country/россия/month-aug,страны,SEO-фильтр,Месяцы - август,https://youtravel.me/tours/country/россия/month-aug,Туры по России в августе,200,,#N/A,
https://youtravel.me/tours/country/россия/month-dec,страны,SEO-фильтр,Месяцы - декабрь,https://youtravel.me/tours/country/россия/month-dec,Туры по России в декабре,200,,#N/A,
https://youtravel.me/tours/country/россия/month-feb,страны,SEO-фильтр,Месяцы - февраль,https://youtravel.me/tours/country/россия/month-feb,Туры по России в феврале,200,,#N/A,
https://youtravel.me/tours/country/россия/month-jan,страны,SEO-фильтр,Месяцы - январь,https://youtravel.me/tours/country/россия/month-jan,Туры по России в январе,200,,#N/A,
https://youtravel.me/tours/country/россия/month-jul,страны,SEO-фильтр,Месяцы - июль,https://youtravel.me/tours/country/россия/month-jul,Туры по России в июле,200,,#N/A,
https://youtravel.me/tours/country/россия/month-jun,страны,SEO-фильтр,Месяцы - июнь,https://youtravel.me/tours/country/россия/month-jun,Туры по России в июне,200,,#N/A,
https://youtravel.me/tours/country/россия/month-mar,страны,SEO-фильтр,Месяцы - март,https://youtravel.me/tours/country/россия/month-mar,Туры по России в марте,200,,#N/A,
https://youtravel.me/tours/country/россия/month-may,страны,SEO-фильтр,Месяцы+праздники - май+майские,https://youtravel.me/tours/country/россия/month-may,Туры по России в мае,200,,#N/A,
https://youtravel.me/tours/country/россия/month-nov,страны,SEO-фильтр,Месяцы - ноябрь,https://youtravel.me/tours/country/россия/month-nov,Туры по России в ноябре,200,,#N/A,
https://youtravel.me/tours/country/россия/month-oct,страны,SEO-фильтр,Месяцы - октябрь,https://youtravel.me/tours/country/россия/month-oct,Туры по России в октябре,200,,#N/A,
https://youtravel.me/tours/country/россия/month-sep,страны,SEO-фильтр,Месяцы - сентябрь,https://youtravel.me/tours/country/россия/month-sep,Туры по России в сентябре,200,,#N/A,
https://youtravel.me/tours/country/россия/type-gornolyzhnye,страны,SEO-фильтр,Типы - горнолыжные,https://youtravel.me/tours/country/россия/type-gornolyzhnye,Горнолыжные туры по России,200,,#N/A,
https://youtravel.me/tours/country/%D1%80%D1%83%D0%B0%D0%BD%D0%B4%D0%B0,страны,страны,Целевая страница каталога,https://youtravel.me/tours/country/руанда,Туры в Руанду,200,,3,
https://youtravel.me/tours/country/%D1%80%D1%83%D0%BC%D1%8B%D0%BD%D0%B8%D1%8F,страны,страны,Целевая страница каталога,https://youtravel.me/tours/country/румыния,Туры в Румынию,200,,#N/A,
https://youtravel.me/tours/country/%D1%81-%D0%B2%D0%B8%D0%BD%D1%81%D0%B5%D0%BD%D1%82_%D0%B8_%D0%B3%D1%80%D0%B5%D0%BD%D0%B0%D0%B4%D0%B8%D0%BD%D1%8B,страны,страны,Целевая страница каталога,https://youtravel.me/tours/country/с-винсент_и_гренадины,Туры в Сент-Винсент и Гренадины,200,,#N/A,
https://youtravel.me/tours/country/%D1%81-%D1%82%D0%BE%D0%BC%D0%B5_%D0%B8_%D0%BF%D1%80%D0%B8%D0%BD%D1%81%D0%B8%D0%BF%D0%B8,страны,страны,Целевая страница каталога,https://youtravel.me/tours/country/с-томе_и_принсипи,Туры в Сан-Томе и Принсипи,200,,#N/A,
https://youtravel.me/tours/country/с-томе_и_принсипи/month-apr,страны,SEO-фильтр,Месяцы - апрель,https://youtravel.me/tours/country/с-томе_и_принсипи/month-apr,Туры в Сан-Томе и Принсипи в апреле,200,,#N/A,
https://youtravel.me/tours/country/с-томе_и_принсипи/month-aug,страны,SEO-фильтр,Месяцы - август,https://youtravel.me/tours/country/с-томе_и_принсипи/month-aug,Туры в Сан-Томе и Принсипи в августе,200,,#N/A,
https://youtravel.me/tours/country/с-томе_и_принсипи/month-dec,страны,SEO-фильтр,Месяцы - декабрь,https://youtravel.me/tours/country/с-томе_и_принсипи/month-dec,Туры в Сан-Томе и Принсипи в декабре,200,,#N/A,
https://youtravel.me/tours/country/с-томе_и_принсипи/month-feb,страны,SEO-фильтр,Месяцы - февраль,https://youtravel.me/tours/country/с-томе_и_принсипи/month-feb,Туры в Сан-Томе и Принсипи в феврале,200,,#N/A,
https://youtravel.me/tours/country/с-томе_и_принсипи/month-jan,страны,SEO-фильтр,Месяцы - январь,https://youtravel.me/tours/country/с-томе_и_принсипи/month-jan,Туры в Сан-Томе и Принсипи в январе,200,,#N/A,
https://youtravel.me/tours/country/с-томе_и_принсипи/month-jul,страны,SEO-фильтр,Месяцы - июль,https://youtravel.me/tours/country/с-томе_и_принсипи/month-jul,Туры в Сан-Томе и Принсипи в июле,200,,#N/A,
https://youtravel.me/tours/country/с-томе_и_принсипи/month-jun,страны,SEO-фильтр,Месяцы - июнь,https://youtravel.me/tours/country/с-томе_и_принсипи/month-jun,Туры в Сан-Томе и Принсипи в июне,200,,#N/A,
https://youtravel.me/tours/country/с-томе_и_принсипи/month-mar,страны,SEO-фильтр,Месяцы - март,https://youtravel.me/tours/country/с-томе_и_принсипи/month-mar,Туры в Сан-Томе и Принсипи в марте,200,,#N/A,
https://youtravel.me/tours/country/с-томе_и_принсипи/month-may,страны,SEO-фильтр,Месяцы+праздники - май+майские,https://youtravel.me/tours/country/с-томе_и_принсипи/month-may,Туры в Сан-Томе и Принсипи в мае,200,,#N/A,
https://youtravel.me/tours/country/с-томе_и_принсипи/month-nov,страны,SEO-фильтр,Месяцы - ноябрь,https://youtravel.me/tours/country/с-томе_и_принсипи/month-nov,Туры в Сан-Томе и Принсипи в ноябре,200,,#N/A,
https://youtravel.me/tours/country/с-томе_и_принсипи/month-oct,страны,SEO-фильтр,Месяцы - октябрь,https://youtravel.me/tours/country/с-томе_и_принсипи/month-oct,Туры в Сан-Томе и Принсипи в октябре,200,,#N/A,
https://youtravel.me/tours/country/с-томе_и_принсипи/month-sep,страны,SEO-фильтр,Месяцы - сентябрь,https://youtravel.me/tours/country/с-томе_и_принсипи/month-sep,Туры в Сан-Томе и Принсипи в сентябре,200,,#N/A,
https://youtravel.me/tours/country/%D1%81%D0%B0%D0%BB%D1%8C%D0%B2%D0%B0%D0%B4%D0%BE%D1%80,страны,страны,Целевая страница каталога,https://youtravel.me/tours/country/сальвадор,Туры в Сальвадор,200,,1,
https://youtravel.me/tours/country/%D1%81%D0%B0%D0%BC%D0%BE%D0%B0,страны,страны,Целевая страница каталога,https://youtravel.me/tours/country/самоа,Туры на Самоа,200,,#N/A,
https://youtravel.me/tours/country/%D1%81%D0%B0%D0%BD-%D0%BC%D0%B0%D1%80%D0%B8%D0%BD%D0%BE,страны,страны,Целевая страница каталога,https://youtravel.me/tours/country/сан-марино,Туры в Сан-Марино,200,,#N/A,
https://youtravel.me/tours/country/%D1%81%D0%B0%D1%83%D0%B4%D0%BE%D0%B2%D1%81%D0%BA%D0%B0%D1%8F_%D0%B0%D1%80%D0%B0%D0%B2%D0%B8%D1%8F,страны,страны,Целевая страница каталога,https://youtravel.me/tours/country/саудовская_аравия,Туры в Саудовскую Аравию,200,,3,
https://youtravel.me/tours/country/саудовская_аравия/month-apr,страны,SEO-фильтр,Месяцы - апрель,https://youtravel.me/tours/country/саудовская_аравия/month-apr,Туры в Саудовскую Аравию в апреле,200,,#N/A,
https://youtravel.me/tours/country/саудовская_аравия/month-aug,страны,SEO-фильтр,Месяцы - август,https://youtravel.me/tours/country/саудовская_аравия/month-aug,Туры в Саудовскую Аравию в августе,200,,#N/A,
https://youtravel.me/tours/country/саудовская_аравия/month-dec,страны,SEO-фильтр,Месяцы - декабрь,https://youtravel.me/tours/country/саудовская_аравия/month-dec,Туры в Саудовскую Аравию в декабре,200,,#N/A,
https://youtravel.me/tours/country/саудовская_аравия/month-feb,страны,SEO-фильтр,Месяцы - февраль,https://youtravel.me/tours/country/саудовская_аравия/month-feb,Туры в Саудовскую Аравию в феврале,200,,#N/A,
https://youtravel.me/tours/country/саудовская_аравия/month-jan,страны,SEO-фильтр,Месяцы - январь,https://youtravel.me/tours/country/саудовская_аравия/month-jan,Туры в Саудовскую Аравию в январе,200,,#N/A,
https://youtravel.me/tours/country/саудовская_аравия/month-jul,страны,SEO-фильтр,Месяцы - июль,https://youtravel.me/tours/country/саудовская_аравия/month-jul,Туры в Саудовскую Аравию в июле,200,,#N/A,
https://youtravel.me/tours/country/саудовская_аравия/month-jun,страны,SEO-фильтр,Месяцы - июнь,https://youtravel.me/tours/country/саудовская_аравия/month-jun,Туры в Саудовскую Аравию в июне,200,,#N/A,
https://youtravel.me/tours/country/саудовская_аравия/month-mar,страны,SEO-фильтр,Месяцы - март,https://youtravel.me/tours/country/саудовская_аравия/month-mar,Туры в Саудовскую Аравию в марте,200,,#N/A,
https://youtravel.me/tours/country/саудовская_аравия/month-may,страны,SEO-фильтр,Месяцы+праздники - май+майские,https://youtravel.me/tours/country/саудовская_аравия/month-may,Туры в Саудовскую Аравию в мае,200,,#N/A,
https://youtravel.me/tours/country/саудовская_аравия/month-nov,страны,SEO-фильтр,Месяцы - ноябрь,https://youtravel.me/tours/country/саудовская_аравия/month-nov,Туры в Саудовскую Аравию в ноябре,200,,#N/A,
https://youtravel.me/tours/country/саудовская_аравия/month-oct,страны,SEO-фильтр,Месяцы - октябрь,https://youtravel.me/tours/country/саудовская_аравия/month-oct,Туры в Саудовскую Аравию в октябре,200,,#N/A,
https://youtravel.me/tours/country/саудовская_аравия/month-sep,страны,SEO-фильтр,Месяцы - сентябрь,https://youtravel.me/tours/country/саудовская_аравия/month-sep,Туры в Саудовскую Аравию в сентябре,200,,#N/A,
https://youtravel.me/tours/country/%D1%81%D0%B2%D0%B0%D0%B7%D0%B8%D0%BB%D0%B5%D0%BD%D0%B4,страны,страны,Целевая страница каталога,https://youtravel.me/tours/country/свазиленд,Туры в Эсватини,200,,#N/A,
https://youtravel.me/tours/country/%D1%81%D0%B5%D0%B9%D1%88%D0%B5%D0%BB%D1%8B,страны,страны,Целевая страница каталога,https://youtravel.me/tours/country/сейшелы,Туры на Сейшелы,200,,30,
https://youtravel.me/tours/country/сейшелы/days-7,страны,SEO-фильтр,Дни - на 7 дней,https://youtravel.me/tours/country/сейшелы/days-7,Туры на Сейшелы на 7 дней,200,,#N/A,
https://youtravel.me/tours/country/сейшелы/holidays-new-year,страны,SEO-фильтр,Праздники - Новый Год,https://youtravel.me/tours/country/сейшелы/holidays-new-year,Туры на Сейшелы на новый год 2025-2026,200,,#N/A,
https://youtravel.me/tours/country/сейшелы/month-apr,страны,SEO-фильтр,Месяцы - апрель,https://youtravel.me/tours/country/сейшелы/month-apr,Туры на Сейшелы в апреле,200,,#N/A,
https://youtravel.me/tours/country/сейшелы/month-aug,страны,SEO-фильтр,Месяцы - август,https://youtravel.me/tours/country/сейшелы/month-aug,Туры на Сейшелы в августе,200,,#N/A,
https://youtravel.me/tours/country/сейшелы/month-dec,страны,SEO-фильтр,Месяцы - декабрь,https://youtravel.me/tours/country/сейшелы/month-dec,Туры на Сейшелы в декабре,200,,#N/A,
https://youtravel.me/tours/country/сейшелы/month-feb,страны,SEO-фильтр,Месяцы - февраль,https://youtravel.me/tours/country/сейшелы/month-feb,Туры на Сейшелы в феврале,200,,#N/A,
https://youtravel.me/tours/country/сейшелы/month-jan,страны,SEO-фильтр,Месяцы - январь,https://youtravel.me/tours/country/сейшелы/month-jan,Туры на Сейшелы в январе,200,,#N/A,
https://youtravel.me/tours/country/сейшелы/month-jul,страны,SEO-фильтр,Месяцы - июль,https://youtravel.me/tours/country/сейшелы/month-jul,Туры на Сейшелы в июле,200,,#N/A,
https://youtravel.me/tours/country/сейшелы/month-jun,страны,SEO-фильтр,Месяцы - июнь,https://youtravel.me/tours/country/сейшелы/month-jun,Туры на Сейшелы в июне,200,,#N/A,
https://youtravel.me/tours/country/сейшелы/month-mar,страны,SEO-фильтр,Месяцы - март,https://youtravel.me/tours/country/сейшелы/month-mar,Туры на Сейшелы в марте,200,,#N/A,
https://youtravel.me/tours/country/сейшелы/month-may,страны,SEO-фильтр,Месяцы+праздники - май+майские,https://youtravel.me/tours/country/сейшелы/month-may,Туры на Сейшелы в мае,200,,#N/A,
